participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.why_accept;player.other_accept;player.why_reject;player.other_reject;player.age;player.gender;player.major;player.political;player.gpa;player.payoff;group.id_in_subsession;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;lnxudbfr;;0;2;1;exitq;Survey;2022-09-30 23:16:52.466713+00:00;1;;;0;1;; To increase my own earnings;; To increase my own earnings;;19;Woman;Social sciences;Center;3.9;0;1;1;f5ganm38;;;;;0
2;4lifgxcd;;0;2;1;exitq;Survey;2022-09-30 23:16:55.515334+00:00;1;;;0;2;; To increase my own earnings;; To increase my own earnings;;21;Woman;Social sciences;Left;3.8;0;1;1;f5ganm38;;;;;0
3;gyocngzh;;0;2;1;exitq;Survey;2022-09-30 23:16:53.491994+00:00;1;;;0;3;; To increase my own earnings;; To increase my own earnings;;20;Woman;Social sciences;Left;3.9;0;1;1;f5ganm38;;;;;0
4;dtguj7ad;;0;2;1;exitq;Survey;2022-09-30 23:16:52.423861+00:00;1;;;0;4;; To increase my own earnings;; To increase my own earnings;;26;Woman;Science, technology, engineering and mathematics;Left;3.4;0;1;1;f5ganm38;;;;;0
5;jgit2eer;;0;2;1;exitq;Survey;2022-09-30 23:16:48.140302+00:00;1;;;0;5;; To increase my own earnings;; To increase my own earnings;;21;Man;Science, technology, engineering and mathematics;Center;3.3;0;1;1;f5ganm38;;;;;0
6;r9ym6qsd;;0;2;1;exitq;Survey;2022-09-30 23:16:53.903550+00:00;1;;;0;6;; To increase my own earnings;; To increase my own earnings;;21;Woman;Science, technology, engineering and mathematics;Left;3.8;0;1;1;f5ganm38;;;;;0
7;883bmrxo;;0;2;1;exitq;Survey;2022-09-30 23:17:43.227756+00:00;1;;;0;7;; To increase my own earnings;; To increase my own earnings;;20;Woman;Social sciences;Left;3.4;0;1;1;f5ganm38;;;;;0
8;na8qvno2;;0;2;1;exitq;Survey;2022-09-30 23:17:21.096200+00:00;1;;;0;8;; To increase my own earnings;; To increase my own earnings;;21;Woman;Social sciences;Center;3.2;0;1;1;f5ganm38;;;;;0
9;ao1k81av;;0;2;1;exitq;Survey;2022-09-30 23:17:59.205342+00:00;1;;;0;9;; To increase my own earnings;; To increase my own earnings;;21;Woman;Science, technology, engineering and mathematics;Left;3.7;0;1;1;f5ganm38;;;;;0
10;4ox9z4q4;;0;2;1;exitq;Survey;2022-09-30 23:16:52.929274+00:00;1;;;0;10;; To increase my own earnings;; To increase my own earnings;;21;Woman;Social sciences;Center;3.4;0;1;1;f5ganm38;;;;;0
11;wykk4eli;;0;2;1;exitq;Survey;2022-09-30 23:17:23.833159+00:00;1;;;0;11;; To increase my own earnings;; To increase my own earnings;;23;Man;Business, Finance;Center;3.2;0;1;1;f5ganm38;;;;;0
