participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.t,player.vote,player.bid,player.ask,player.lama,player.why_accept,player.other_accept,player.why_reject,player.other_reject,player.age,player.gender,player.major,player.political,player.gpa,player.payoff,group.id_in_subsession,group.price,group.q,group.policy,group.costo,group.uniforme,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,b3thk85v,,0,479,1000,voting,Survey,2022-09-09 22:26:05.968843+00:00,1,,,103,1,,1,0,80.00,80.00,0.00,,,,,,,,,,150,1,50.00,7,0,40,1,1,dgqok9ca,,,,,0
2,8f4qdukq,,0,479,1000,voting,Survey,2022-09-09 22:26:35.069114+00:00,1,,,66,2,,1,0,75.00,75.00,0.09,,,,,,,,,,150,1,50.00,7,0,40,1,1,dgqok9ca,,,,,0
3,lip6wecw,,0,479,1000,voting,Survey,2022-09-09 22:26:04.572530+00:00,1,,,98,3,,0,0,50.00,50.00,0.18,,,,,,,,,,100,1,50.00,7,0,40,1,1,dgqok9ca,,,,,0
4,nmglt214,,0,479,1000,voting,Survey,2022-09-09 22:26:05.344885+00:00,1,,,84,4,,0,1,50.00,50.00,0.27,,,,,,,,,,100,1,50.00,7,0,40,1,1,dgqok9ca,,,,,0
5,7o35bquw,,0,479,1000,voting,Survey,2022-09-09 22:26:10.062216+00:00,1,,,139,5,,1,0,60.00,60.00,0.36,,,,,,,,,,150,1,50.00,7,0,40,1,1,dgqok9ca,,,,,0
6,5h9lcz0l,,0,479,1000,voting,Survey,2022-09-09 22:26:00.015623+00:00,1,,,102,6,,-1,0,40.00,40.00,0.45,,,,,,,,,,50,1,50.00,7,0,40,1,1,dgqok9ca,,,,,0
7,u01fgzgs,,0,479,1000,voting,Survey,2022-09-09 22:26:02.661180+00:00,1,,,158,7,,1,0,100.00,100.00,0.55,,,,,,,,,,150,1,50.00,7,0,40,1,1,dgqok9ca,,,,,0
8,x9op5bm3,,0,479,1000,voting,Survey,2022-09-09 22:26:09.894121+00:00,1,,,121,8,,-1,0,35.00,35.00,0.64,,,,,,,,,,50,1,50.00,7,0,40,1,1,dgqok9ca,,,,,0
9,olpl4te6,,0,479,1000,voting,Survey,2022-09-09 22:26:30.824926+00:00,1,,,176,9,,0,1,50.00,50.00,0.73,,,,,,,,,,100,1,50.00,7,0,40,1,1,dgqok9ca,,,,,0
10,zdqm5mqn,,0,479,1000,voting,Survey,2022-09-09 22:26:06.112592+00:00,1,,,185,10,,-1,0,25.00,25.00,0.82,,,,,,,,,,50,1,50.00,7,0,40,1,1,dgqok9ca,,,,,0
11,5vaz41yo,,0,479,1000,voting,Survey,2022-09-09 22:26:13.653469+00:00,1,,,148,11,,-1,0,39.00,39.00,0.91,,,,,,,,,,50,1,50.00,7,0,40,1,1,dgqok9ca,,,,,0
1,b3thk85v,,0,479,1000,voting,Survey,2022-09-09 22:26:05.968843+00:00,1,,,103,1,,-1,0,50.00,50.00,0.00,,,,,,,,,,60,1,60.00,6,1,40,1,2,dgqok9ca,,,,,0
2,8f4qdukq,,0,479,1000,voting,Survey,2022-09-09 22:26:35.069114+00:00,1,,,66,2,,-1,0,35.00,35.00,0.09,,,,,,,,,,69,1,60.00,6,1,40,1,2,dgqok9ca,,,,,0
3,lip6wecw,,0,479,1000,voting,Survey,2022-09-09 22:26:04.572530+00:00,1,,,98,3,,1,0,60.00,60.00,0.18,,,,,,,,,,78,1,60.00,6,1,40,1,2,dgqok9ca,,,,,0
4,nmglt214,,0,479,1000,voting,Survey,2022-09-09 22:26:05.344885+00:00,1,,,84,4,,-1,0,40.00,40.00,0.27,,,,,,,,,,87,1,60.00,6,1,40,1,2,dgqok9ca,,,,,0
5,7o35bquw,,0,479,1000,voting,Survey,2022-09-09 22:26:10.062216+00:00,1,,,139,5,,1,1,60.00,60.00,0.36,,,,,,,,,,96,1,60.00,6,1,40,1,2,dgqok9ca,,,,,0
6,5h9lcz0l,,0,479,1000,voting,Survey,2022-09-09 22:26:00.015623+00:00,1,,,102,6,,1,0,130.00,130.00,0.45,,,,,,,,,,105,1,60.00,6,1,40,1,2,dgqok9ca,,,,,0
7,u01fgzgs,,0,479,1000,voting,Survey,2022-09-09 22:26:02.661180+00:00,1,,,158,7,,1,1,75.00,75.00,0.55,,,,,,,,,,115,1,60.00,6,1,40,1,2,dgqok9ca,,,,,0
8,x9op5bm3,,0,479,1000,voting,Survey,2022-09-09 22:26:09.894121+00:00,1,,,121,8,,0,1,60.00,60.00,0.64,,,,,,,,,,124,1,60.00,6,1,40,1,2,dgqok9ca,,,,,0
9,olpl4te6,,0,479,1000,voting,Survey,2022-09-09 22:26:30.824926+00:00,1,,,176,9,,-1,0,40.00,40.00,0.73,,,,,,,,,,133,1,60.00,6,1,40,1,2,dgqok9ca,,,,,0
10,zdqm5mqn,,0,479,1000,voting,Survey,2022-09-09 22:26:06.112592+00:00,1,,,185,10,,1,1,65.00,65.00,0.82,,,,,,,,,,142,1,60.00,6,1,40,1,2,dgqok9ca,,,,,0
11,5vaz41yo,,0,479,1000,voting,Survey,2022-09-09 22:26:13.653469+00:00,1,,,148,11,,-1,0,58.00,58.00,0.91,,,,,,,,,,151,1,60.00,6,1,40,1,2,dgqok9ca,,,,,0
1,b3thk85v,,0,479,1000,voting,Survey,2022-09-09 22:26:05.968843+00:00,1,,,103,1,,1,0,70.00,70.00,0.00,,,,,,,,,,135,1,65.00,6,0,40,1,3,dgqok9ca,,,,,0
2,8f4qdukq,,0,479,1000,voting,Survey,2022-09-09 22:26:35.069114+00:00,1,,,66,2,,1,0,100.00,100.00,0.09,,,,,,,,,,135,1,65.00,6,0,40,1,3,dgqok9ca,,,,,0
3,lip6wecw,,0,479,1000,voting,Survey,2022-09-09 22:26:04.572530+00:00,1,,,98,3,,-1,0,60.00,60.00,0.18,,,,,,,,,,65,1,65.00,6,0,40,1,3,dgqok9ca,,,,,0
4,nmglt214,,0,479,1000,voting,Survey,2022-09-09 22:26:05.344885+00:00,1,,,84,4,,-1,0,60.00,60.00,0.27,,,,,,,,,,65,1,65.00,6,0,40,1,3,dgqok9ca,,,,,0
5,7o35bquw,,0,479,1000,voting,Survey,2022-09-09 22:26:10.062216+00:00,1,,,139,5,,1,0,70.00,70.00,0.36,,,,,,,,,,135,1,65.00,6,0,40,1,3,dgqok9ca,,,,,0
6,5h9lcz0l,,0,479,1000,voting,Survey,2022-09-09 22:26:00.015623+00:00,1,,,102,6,,1,1,120.00,120.00,0.45,,,,,,,,,,135,1,65.00,6,0,40,1,3,dgqok9ca,,,,,0
7,u01fgzgs,,0,479,1000,voting,Survey,2022-09-09 22:26:02.661180+00:00,1,,,158,7,,0,1,65.00,65.00,0.55,,,,,,,,,,100,1,65.00,6,0,40,1,3,dgqok9ca,,,,,0
8,x9op5bm3,,0,479,1000,voting,Survey,2022-09-09 22:26:09.894121+00:00,1,,,121,8,,-1,0,56.00,56.00,0.64,,,,,,,,,,65,1,65.00,6,0,40,1,3,dgqok9ca,,,,,0
9,olpl4te6,,0,479,1000,voting,Survey,2022-09-09 22:26:30.824926+00:00,1,,,176,9,,-1,0,55.00,55.00,0.73,,,,,,,,,,65,1,65.00,6,0,40,1,3,dgqok9ca,,,,,0
10,zdqm5mqn,,0,479,1000,voting,Survey,2022-09-09 22:26:06.112592+00:00,1,,,185,10,,1,1,68.00,68.00,0.82,,,,,,,,,,135,1,65.00,6,0,40,1,3,dgqok9ca,,,,,0
11,5vaz41yo,,0,479,1000,voting,Survey,2022-09-09 22:26:13.653469+00:00,1,,,148,11,,-1,0,62.00,62.00,0.91,,,,,,,,,,65,1,65.00,6,0,40,1,3,dgqok9ca,,,,,0
1,b3thk85v,,0,479,1000,voting,Survey,2022-09-09 22:26:05.968843+00:00,1,,,103,1,,-1,0,66.00,66.00,0.00,,,,,,,,,,70,1,70.00,6,0,40,1,4,dgqok9ca,,,,,0
2,8f4qdukq,,0,479,1000,voting,Survey,2022-09-09 22:26:35.069114+00:00,1,,,66,2,,1,0,100.00,100.00,0.09,,,,,,,,,,130,1,70.00,6,0,40,1,4,dgqok9ca,,,,,0
3,lip6wecw,,0,479,1000,voting,Survey,2022-09-09 22:26:04.572530+00:00,1,,,98,3,,1,0,75.00,75.00,0.18,,,,,,,,,,130,1,70.00,6,0,40,1,4,dgqok9ca,,,,,0
4,nmglt214,,0,479,1000,voting,Survey,2022-09-09 22:26:05.344885+00:00,1,,,84,4,,0,0,70.00,70.00,0.27,,,,,,,,,,100,1,70.00,6,0,40,1,4,dgqok9ca,,,,,0
5,7o35bquw,,0,479,1000,voting,Survey,2022-09-09 22:26:10.062216+00:00,1,,,139,5,,1,0,75.00,75.00,0.36,,,,,,,,,,130,1,70.00,6,0,40,1,4,dgqok9ca,,,,,0
6,5h9lcz0l,,0,479,1000,voting,Survey,2022-09-09 22:26:00.015623+00:00,1,,,102,6,,-1,0,69.00,69.00,0.45,,,,,,,,,,70,1,70.00,6,0,40,1,4,dgqok9ca,,,,,0
7,u01fgzgs,,0,479,1000,voting,Survey,2022-09-09 22:26:02.661180+00:00,1,,,158,7,,1,0,200.00,200.00,0.55,,,,,,,,,,130,1,70.00,6,0,40,1,4,dgqok9ca,,,,,0
8,x9op5bm3,,0,479,1000,voting,Survey,2022-09-09 22:26:09.894121+00:00,1,,,121,8,,-1,0,60.00,60.00,0.64,,,,,,,,,,70,1,70.00,6,0,40,1,4,dgqok9ca,,,,,0
9,olpl4te6,,0,479,1000,voting,Survey,2022-09-09 22:26:30.824926+00:00,1,,,176,9,,1,0,70.00,70.00,0.73,,,,,,,,,,130,1,70.00,6,0,40,1,4,dgqok9ca,,,,,0
10,zdqm5mqn,,0,479,1000,voting,Survey,2022-09-09 22:26:06.112592+00:00,1,,,185,10,,-1,0,69.00,69.00,0.82,,,,,,,,,,70,1,70.00,6,0,40,1,4,dgqok9ca,,,,,0
11,5vaz41yo,,0,479,1000,voting,Survey,2022-09-09 22:26:13.653469+00:00,1,,,148,11,,-1,0,68.00,68.00,0.91,,,,,,,,,,70,1,70.00,6,0,40,1,4,dgqok9ca,,,,,0
1,b3thk85v,,0,479,1000,voting,Survey,2022-09-09 22:26:05.968843+00:00,1,,,103,1,,-1,0,60.00,60.00,0.00,,,,,,,,,,75,1,75.00,8,0,40,1,5,dgqok9ca,,,,,0
2,8f4qdukq,,0,479,1000,voting,Survey,2022-09-09 22:26:35.069114+00:00,1,,,66,2,,1,0,150.00,150.00,0.09,,,,,,,,,,125,1,75.00,8,0,40,1,5,dgqok9ca,,,,,0
3,lip6wecw,,0,479,1000,voting,Survey,2022-09-09 22:26:04.572530+00:00,1,,,98,3,,0,0,75.00,75.00,0.18,,,,,,,,,,100,1,75.00,8,0,40,1,5,dgqok9ca,,,,,0
4,nmglt214,,0,479,1000,voting,Survey,2022-09-09 22:26:05.344885+00:00,1,,,84,4,,1,0,100.00,100.00,0.27,,,,,,,,,,125,1,75.00,8,0,40,1,5,dgqok9ca,,,,,0
5,7o35bquw,,0,479,1000,voting,Survey,2022-09-09 22:26:10.062216+00:00,1,,,139,5,,0,0,75.00,75.00,0.36,,,,,,,,,,100,1,75.00,8,0,40,1,5,dgqok9ca,,,,,0
6,5h9lcz0l,,0,479,1000,voting,Survey,2022-09-09 22:26:00.015623+00:00,1,,,102,6,,1,1,200.00,200.00,0.45,,,,,,,,,,125,1,75.00,8,0,40,1,5,dgqok9ca,,,,,0
7,u01fgzgs,,0,479,1000,voting,Survey,2022-09-09 22:26:02.661180+00:00,1,,,158,7,,0,1,75.00,75.00,0.55,,,,,,,,,,100,1,75.00,8,0,40,1,5,dgqok9ca,,,,,0
8,x9op5bm3,,0,479,1000,voting,Survey,2022-09-09 22:26:09.894121+00:00,1,,,121,8,,-1,0,72.00,72.00,0.64,,,,,,,,,,75,1,75.00,8,0,40,1,5,dgqok9ca,,,,,0
9,olpl4te6,,0,479,1000,voting,Survey,2022-09-09 22:26:30.824926+00:00,1,,,176,9,,-1,0,60.00,60.00,0.73,,,,,,,,,,75,1,75.00,8,0,40,1,5,dgqok9ca,,,,,0
10,zdqm5mqn,,0,479,1000,voting,Survey,2022-09-09 22:26:06.112592+00:00,1,,,185,10,,0,1,75.00,75.00,0.82,,,,,,,,,,100,1,75.00,8,0,40,1,5,dgqok9ca,,,,,0
11,5vaz41yo,,0,479,1000,voting,Survey,2022-09-09 22:26:13.653469+00:00,1,,,148,11,,0,1,75.00,75.00,0.91,,,,,,,,,,100,1,75.00,8,0,40,1,5,dgqok9ca,,,,,0
1,b3thk85v,,0,479,1000,voting,Survey,2022-09-09 22:26:05.968843+00:00,1,,,103,1,,-1,0,75.00,75.00,0.00,,,,,,,,,,78,1,78.50,5,0,40,1,6,dgqok9ca,,,,,0
2,8f4qdukq,,0,479,1000,voting,Survey,2022-09-09 22:26:35.069114+00:00,1,,,66,2,,1,0,150.00,150.00,0.09,,,,,,,,,,122,1,78.50,5,0,40,1,6,dgqok9ca,,,,,0
3,lip6wecw,,0,479,1000,voting,Survey,2022-09-09 22:26:04.572530+00:00,1,,,98,3,,1,0,80.00,80.00,0.18,,,,,,,,,,122,1,78.50,5,0,40,1,6,dgqok9ca,,,,,0
4,nmglt214,,0,479,1000,voting,Survey,2022-09-09 22:26:05.344885+00:00,1,,,84,4,,-1,0,70.00,70.00,0.27,,,,,,,,,,78,1,78.50,5,0,40,1,6,dgqok9ca,,,,,0
5,7o35bquw,,0,479,1000,voting,Survey,2022-09-09 22:26:10.062216+00:00,1,,,139,5,,0,1,0.00,0.00,0.36,,,,,,,,,,100,1,78.50,5,0,40,1,6,dgqok9ca,,,,,0
6,5h9lcz0l,,0,479,1000,voting,Survey,2022-09-09 22:26:00.015623+00:00,1,,,102,6,,1,0,95.00,95.00,0.45,,,,,,,,,,122,1,78.50,5,0,40,1,6,dgqok9ca,,,,,0
7,u01fgzgs,,0,479,1000,voting,Survey,2022-09-09 22:26:02.661180+00:00,1,,,158,7,,1,0,200.00,200.00,0.55,,,,,,,,,,122,1,78.50,5,0,40,1,6,dgqok9ca,,,,,0
8,x9op5bm3,,0,479,1000,voting,Survey,2022-09-09 22:26:09.894121+00:00,1,,,121,8,,1,0,79.00,79.00,0.64,,,,,,,,,,122,1,78.50,5,0,40,1,6,dgqok9ca,,,,,0
9,olpl4te6,,0,479,1000,voting,Survey,2022-09-09 22:26:30.824926+00:00,1,,,176,9,,-1,0,60.00,60.00,0.73,,,,,,,,,,78,1,78.50,5,0,40,1,6,dgqok9ca,,,,,0
10,zdqm5mqn,,0,479,1000,voting,Survey,2022-09-09 22:26:06.112592+00:00,1,,,185,10,,-1,0,78.00,78.00,0.82,,,,,,,,,,78,1,78.50,5,0,40,1,6,dgqok9ca,,,,,0
11,5vaz41yo,,0,479,1000,voting,Survey,2022-09-09 22:26:13.653469+00:00,1,,,148,11,,-1,0,75.00,75.00,0.91,,,,,,,,,,78,1,78.50,5,0,40,1,6,dgqok9ca,,,,,0
1,b3thk85v,,0,479,1000,voting,Survey,2022-09-09 22:26:05.968843+00:00,1,,,103,1,,-1,0,78.00,78.00,0.00,,,,,,,,,,80,1,80.00,6,0,40,1,7,dgqok9ca,,,,,0
2,8f4qdukq,,0,479,1000,voting,Survey,2022-09-09 22:26:35.069114+00:00,1,,,66,2,,1,0,125.00,125.00,0.09,,,,,,,,,,120,1,80.00,6,0,40,1,7,dgqok9ca,,,,,0
3,lip6wecw,,0,479,1000,voting,Survey,2022-09-09 22:26:04.572530+00:00,1,,,98,3,,1,0,82.00,82.00,0.18,,,,,,,,,,120,1,80.00,6,0,40,1,7,dgqok9ca,,,,,0
4,nmglt214,,0,479,1000,voting,Survey,2022-09-09 22:26:05.344885+00:00,1,,,84,4,,0,1,80.00,80.00,0.27,,,,,,,,,,100,1,80.00,6,0,40,1,7,dgqok9ca,,,,,0
5,7o35bquw,,0,479,1000,voting,Survey,2022-09-09 22:26:10.062216+00:00,1,,,139,5,,0,0,0.00,0.00,0.36,,,,,,,,,,100,1,80.00,6,0,40,1,7,dgqok9ca,,,,,0
6,5h9lcz0l,,0,479,1000,voting,Survey,2022-09-09 22:26:00.015623+00:00,1,,,102,6,,1,0,110.00,110.00,0.45,,,,,,,,,,120,1,80.00,6,0,40,1,7,dgqok9ca,,,,,0
7,u01fgzgs,,0,479,1000,voting,Survey,2022-09-09 22:26:02.661180+00:00,1,,,158,7,,-1,0,75.00,75.00,0.55,,,,,,,,,,80,1,80.00,6,0,40,1,7,dgqok9ca,,,,,0
8,x9op5bm3,,0,479,1000,voting,Survey,2022-09-09 22:26:09.894121+00:00,1,,,121,8,,-1,0,77.00,77.00,0.64,,,,,,,,,,80,1,80.00,6,0,40,1,7,dgqok9ca,,,,,0
9,olpl4te6,,0,479,1000,voting,Survey,2022-09-09 22:26:30.824926+00:00,1,,,176,9,,-1,0,70.00,70.00,0.73,,,,,,,,,,80,1,80.00,6,0,40,1,7,dgqok9ca,,,,,0
10,zdqm5mqn,,0,479,1000,voting,Survey,2022-09-09 22:26:06.112592+00:00,1,,,185,10,,1,1,82.00,82.00,0.82,,,,,,,,,,120,1,80.00,6,0,40,1,7,dgqok9ca,,,,,0
11,5vaz41yo,,0,479,1000,voting,Survey,2022-09-09 22:26:13.653469+00:00,1,,,148,11,,0,1,80.00,80.00,0.91,,,,,,,,,,100,1,80.00,6,0,40,1,7,dgqok9ca,,,,,0
1,b3thk85v,,0,479,1000,voting,Survey,2022-09-09 22:26:05.968843+00:00,1,,,103,1,,-1,0,80.00,80.00,0.00,,,,,,,,,,88,1,88.00,6,0,40,1,8,dgqok9ca,,,,,0
2,8f4qdukq,,0,479,1000,voting,Survey,2022-09-09 22:26:35.069114+00:00,1,,,66,2,,1,0,175.00,175.00,0.09,,,,,,,,,,112,1,88.00,6,0,40,1,8,dgqok9ca,,,,,0
3,lip6wecw,,0,479,1000,voting,Survey,2022-09-09 22:26:04.572530+00:00,1,,,98,3,,-1,0,82.00,82.00,0.18,,,,,,,,,,88,1,88.00,6,0,40,1,8,dgqok9ca,,,,,0
4,nmglt214,,0,479,1000,voting,Survey,2022-09-09 22:26:05.344885+00:00,1,,,84,4,,-1,0,80.00,80.00,0.27,,,,,,,,,,88,1,88.00,6,0,40,1,8,dgqok9ca,,,,,0
5,7o35bquw,,0,479,1000,voting,Survey,2022-09-09 22:26:10.062216+00:00,1,,,139,5,,1,1,100.00,100.00,0.36,,,,,,,,,,112,1,88.00,6,0,40,1,8,dgqok9ca,,,,,0
6,5h9lcz0l,,0,479,1000,voting,Survey,2022-09-09 22:26:00.015623+00:00,1,,,102,6,,1,0,140.00,140.00,0.45,,,,,,,,,,112,1,88.00,6,0,40,1,8,dgqok9ca,,,,,0
7,u01fgzgs,,0,479,1000,voting,Survey,2022-09-09 22:26:02.661180+00:00,1,,,158,7,,1,0,100.00,100.00,0.55,,,,,,,,,,112,1,88.00,6,0,40,1,8,dgqok9ca,,,,,0
8,x9op5bm3,,0,479,1000,voting,Survey,2022-09-09 22:26:09.894121+00:00,1,,,121,8,,0,1,88.00,88.00,0.64,,,,,,,,,,100,1,88.00,6,0,40,1,8,dgqok9ca,,,,,0
9,olpl4te6,,0,479,1000,voting,Survey,2022-09-09 22:26:30.824926+00:00,1,,,176,9,,1,0,90.00,90.00,0.73,,,,,,,,,,112,1,88.00,6,0,40,1,8,dgqok9ca,,,,,0
10,zdqm5mqn,,0,479,1000,voting,Survey,2022-09-09 22:26:06.112592+00:00,1,,,185,10,,-1,0,85.00,85.00,0.82,,,,,,,,,,88,1,88.00,6,0,40,1,8,dgqok9ca,,,,,0
11,5vaz41yo,,0,479,1000,voting,Survey,2022-09-09 22:26:13.653469+00:00,1,,,148,11,,-1,0,82.00,82.00,0.91,,,,,,,,,,88,1,88.00,6,0,40,1,8,dgqok9ca,,,,,0
1,b3thk85v,,0,479,1000,voting,Survey,2022-09-09 22:26:05.968843+00:00,1,,,103,1,,-1,0,50.00,50.00,0.00,,,,,,,,,,85,1,85.00,6,0,60,1,9,dgqok9ca,,,,,0
2,8f4qdukq,,0,479,1000,voting,Survey,2022-09-09 22:26:35.069114+00:00,1,,,66,2,,1,0,90.00,90.00,0.09,,,,,,,,,,115,1,85.00,6,0,60,1,9,dgqok9ca,,,,,0
3,lip6wecw,,0,479,1000,voting,Survey,2022-09-09 22:26:04.572530+00:00,1,,,98,3,,1,0,100.00,100.00,0.18,,,,,,,,,,115,1,85.00,6,0,60,1,9,dgqok9ca,,,,,0
4,nmglt214,,0,479,1000,voting,Survey,2022-09-09 22:26:05.344885+00:00,1,,,84,4,,-1,0,40.00,40.00,0.27,,,,,,,,,,85,1,85.00,6,0,60,1,9,dgqok9ca,,,,,0
5,7o35bquw,,0,479,1000,voting,Survey,2022-09-09 22:26:10.062216+00:00,1,,,139,5,,-1,0,55.00,55.00,0.36,,,,,,,,,,85,1,85.00,6,0,60,1,9,dgqok9ca,,,,,0
6,5h9lcz0l,,0,479,1000,voting,Survey,2022-09-09 22:26:00.015623+00:00,1,,,102,6,,1,1,120.00,120.00,0.45,,,,,,,,,,115,1,85.00,6,0,60,1,9,dgqok9ca,,,,,0
7,u01fgzgs,,0,479,1000,voting,Survey,2022-09-09 22:26:02.661180+00:00,1,,,158,7,,1,0,100.00,100.00,0.55,,,,,,,,,,115,1,85.00,6,0,60,1,9,dgqok9ca,,,,,0
8,x9op5bm3,,0,479,1000,voting,Survey,2022-09-09 22:26:09.894121+00:00,1,,,121,8,,-1,0,79.00,79.00,0.64,,,,,,,,,,85,1,85.00,6,0,60,1,9,dgqok9ca,,,,,0
9,olpl4te6,,0,479,1000,voting,Survey,2022-09-09 22:26:30.824926+00:00,1,,,176,9,,1,0,90.00,90.00,0.73,,,,,,,,,,115,1,85.00,6,0,60,1,9,dgqok9ca,,,,,0
10,zdqm5mqn,,0,479,1000,voting,Survey,2022-09-09 22:26:06.112592+00:00,1,,,185,10,,-1,0,55.00,55.00,0.82,,,,,,,,,,85,1,85.00,6,0,60,1,9,dgqok9ca,,,,,0
