participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.question_id,player.question,player.solution,player.submitted_answer,player.is_correct,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,0nmmyp67,,0,0,18,,,,0,,,0,1,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,,,0,1,1,0gahzl8w,,,,,1
1,0nmmyp67,,0,0,18,,,,0,,,0,1,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,,,0,1,2,0gahzl8w,,,,,1
1,0nmmyp67,,0,0,18,,,,0,,,0,1,,3,If you sell an asset then ,Your cash holdings will increase by the market price,,,0,1,3,0gahzl8w,,,,,1
1,0nmmyp67,,0,0,18,,,,0,,,0,1,,4,If a majority vote to approve the proposal then what is the net payoff for those who hold one share:,100 - C + w_i*100,,,0,1,4,0gahzl8w,,,,,1
1,0nmmyp67,,0,0,18,,,,0,,,0,1,,5,If a majority vote to reject the proposal then what is the share payout for those that hold two shares,200,,,0,1,5,0gahzl8w,,,,,1
1,0nmmyp67,,0,0,18,,,,0,,,0,1,,6,The personal benefit from the policy is,proportional to w_i,,,0,1,6,0gahzl8w,,,,,1
1,a37a6d1e,,0,19,18,quiz,Results,2022-09-21 22:03:48.746142+00:00,1,,,0,1,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Buy a share,1,0,1,1,t8k6mo7e,,,,,0
2,z72im4o2,,0,18,18,quiz,Results,2022-09-21 22:03:43.202839+00:00,1,,,0,2,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Buy a share,1,0,1,1,t8k6mo7e,,,,,0
3,5bol72zt,,0,19,18,quiz,Results,2022-09-21 22:03:42.486236+00:00,1,,,0,3,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Buy a share,1,0,1,1,t8k6mo7e,,,,,0
4,qu2j46bb,,0,19,18,quiz,Results,2022-09-21 22:03:45.676037+00:00,1,,,0,4,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Buy a share,1,0,1,1,t8k6mo7e,,,,,0
5,kw1kw6eh,,0,19,18,quiz,Results,2022-09-21 22:04:05.300198+00:00,1,,,0,5,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Sell a share,0,0,1,1,t8k6mo7e,,,,,0
6,usurj1xv,,0,19,18,quiz,Results,2022-09-21 22:03:39.513397+00:00,1,,,0,6,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Buy a share,1,0,1,1,t8k6mo7e,,,,,0
7,dmk9oe07,,0,19,18,quiz,Results,2022-09-21 22:03:58.597197+00:00,1,,,0,7,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Buy a share,1,0,1,1,t8k6mo7e,,,,,0
8,yqob26vh,,0,19,18,quiz,Results,2022-09-21 22:03:58.752760+00:00,1,,,0,8,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Buy a share,1,0,1,1,t8k6mo7e,,,,,0
9,hrdqe8vw,,0,19,18,quiz,Results,2022-09-21 22:03:53.673395+00:00,1,,,0,9,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Buy a share,1,0,1,1,t8k6mo7e,,,,,0
10,9u6e5afl,,0,19,18,quiz,Results,2022-09-21 22:03:44.649961+00:00,1,,,0,10,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Buy a share,1,0,1,1,t8k6mo7e,,,,,0
11,yitv7vbu,,0,19,18,quiz,Results,2022-09-21 22:03:47.562456+00:00,1,,,0,11,,1,If you submit a price of 70 and the market clearing price is 60 you will:,Buy a share,Buy a share,1,0,1,1,t8k6mo7e,,,,,0
1,a37a6d1e,,0,19,18,quiz,Results,2022-09-21 22:03:48.746142+00:00,1,,,0,1,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,2*100 - 0.7*C,0,0,1,2,t8k6mo7e,,,,,0
2,z72im4o2,,0,18,18,quiz,Results,2022-09-21 22:03:43.202839+00:00,1,,,0,2,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,0.7*100 - 2*C,1,0,1,2,t8k6mo7e,,,,,0
3,5bol72zt,,0,19,18,quiz,Results,2022-09-21 22:03:42.486236+00:00,1,,,0,3,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,0.7*100 - C,0,0,1,2,t8k6mo7e,,,,,0
4,qu2j46bb,,0,19,18,quiz,Results,2022-09-21 22:03:45.676037+00:00,1,,,0,4,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,0.7*100 - 2*C,1,0,1,2,t8k6mo7e,,,,,0
5,kw1kw6eh,,0,19,18,quiz,Results,2022-09-21 22:04:05.300198+00:00,1,,,0,5,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,2*100 - 0.7*C,0,0,1,2,t8k6mo7e,,,,,0
6,usurj1xv,,0,19,18,quiz,Results,2022-09-21 22:03:39.513397+00:00,1,,,0,6,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,0.7*100 - 2*C,1,0,1,2,t8k6mo7e,,,,,0
7,dmk9oe07,,0,19,18,quiz,Results,2022-09-21 22:03:58.597197+00:00,1,,,0,7,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,0.7*100 - 2*C,1,0,1,2,t8k6mo7e,,,,,0
8,yqob26vh,,0,19,18,quiz,Results,2022-09-21 22:03:58.752760+00:00,1,,,0,8,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,2*100 - 0.7*C,0,0,1,2,t8k6mo7e,,,,,0
9,hrdqe8vw,,0,19,18,quiz,Results,2022-09-21 22:03:53.673395+00:00,1,,,0,9,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,0.7*100 - C,0,0,1,2,t8k6mo7e,,,,,0
10,9u6e5afl,,0,19,18,quiz,Results,2022-09-21 22:03:44.649961+00:00,1,,,0,10,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,0.7*100 - 2*C,1,0,1,2,t8k6mo7e,,,,,0
11,yitv7vbu,,0,19,18,quiz,Results,2022-09-21 22:03:47.562456+00:00,1,,,0,11,,2,You hold 2 shares. Your weight w_i is 0.7. 100 is the benefit amount from the policy and C is the cost of the policy. What is your net benefit if the policy is approved:,0.7*100 - 2*C,0.7*100 - 2*C,1,0,1,2,t8k6mo7e,,,,,0
1,a37a6d1e,,0,19,18,quiz,Results,2022-09-21 22:03:48.746142+00:00,1,,,0,1,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by the market price,1,0,1,3,t8k6mo7e,,,,,0
2,z72im4o2,,0,18,18,quiz,Results,2022-09-21 22:03:43.202839+00:00,1,,,0,2,,3,If you sell an asset then ,Your cash holdings will increase by the market price,Your cash holdings will increase by the market price,1,0,1,3,t8k6mo7e,,,,,0
