participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.why_accept;player.other_accept;player.why_reject;player.other_reject;player.age;player.gender;player.major;player.political;player.gpa;player.payoff;group.id_in_subsession;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;sv4k1ylv;;0;2;1;exitq;Survey;2022-11-18 00:08:19.089537+00:00;1;;;0;1;; To increase my own earnings;; To increase my own earnings;;19;Man;Social sciences;Left;3.9;0;1;1;r5b99rfs;;;;;0
2;21eyruny;;0;2;1;exitq;Survey;2022-11-18 00:10:47.082359+00:00;1;;;0;2;;To help other participants ;; To increase my own earnings;;20;Woman;Social sciences;Center;3.3;0;1;1;r5b99rfs;;;;;0
3;ufcdgobe;;0;2;1;exitq;Survey;2022-11-18 00:08:34.298239+00:00;1;;;0;3;; To increase my own earnings;; To increase my own earnings;;21;Woman;Science, technology, engineering and mathematics;Left;3.7;0;1;1;r5b99rfs;;;;;0
4;u0ukywlt;;0;2;1;exitq;Survey;2022-11-18 00:08:25.931169+00:00;1;;;0;4;; To increase my own earnings;; To increase my own earnings;;21;Woman;Social sciences;Left;3.7;0;1;1;r5b99rfs;;;;;0
5;uomfokd1;;0;2;1;exitq;Survey;2022-11-18 00:08:39.175737+00:00;1;;;0;5;; To increase my own earnings;; To increase my own earnings;;20;Woman;Social sciences;Right;3.2;0;1;1;r5b99rfs;;;;;0
6;g8tiu1of;;0;2;1;exitq;Survey;2022-11-18 00:08:19.015107+00:00;1;;;0;6;; To increase my own earnings;; To increase my own earnings;;19;Woman;Social sciences;Center;3.7;0;1;1;r5b99rfs;;;;;0
7;piseq64h;;0;2;1;exitq;Survey;2022-11-18 00:08:25.670723+00:00;1;;;0;7;; To increase my own earnings;; To increase my own earnings;;18;Woman;Science, technology, engineering and mathematics;Center;4.0;0;1;1;r5b99rfs;;;;;0
8;12yvry2x;;0;2;1;exitq;Survey;2022-11-18 00:08:18.799783+00:00;1;;;0;8;; To increase my own earnings;; To increase my own earnings;;18;Woman;Social sciences;Left;3.8;0;1;1;r5b99rfs;;;;;0
9;cp9gsa1i;;0;2;1;exitq;Survey;2022-11-18 00:08:32.040295+00:00;1;;;0;9;; To increase my own earnings;; To increase my own earnings;;20;Woman;Social sciences;Center;3.6;0;1;1;r5b99rfs;;;;;0
10;1yqbxvyy;;0;2;1;exitq;Survey;2022-11-18 00:08:34.766173+00:00;1;;;0;10;;To ensure fair payoffs;; To increase my own earnings;;20;Woman;Science, technology, engineering and mathematics;Center;3.5;0;1;1;r5b99rfs;;;;;0
11;eii1de8d;;0;2;1;exitq;Survey;2022-11-17 23:22:16.678487+00:00;1;;;0;11;; To increase my own earnings;; To increase my own earnings;;20;Man;Science, technology, engineering and mathematics;Center;3.9;0;1;1;r5b99rfs;;;;;0
