participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.t,player.vote,player.bid,player.ask,player.lama,player.payoff,group.id_in_subsession,group.price,group.q,group.policy,group.costo,group.uniforme,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,092wagab,,0,432,900,voting,Payment,2022-09-21 22:27:36.931708+00:00,1,,,31,1,,-1,0,50.00,50.00,0.00,61,1,61.00,6,0,60,1,1,md05qhkm,,,,,0
2,pg53dkyh,,0,432,900,voting,Payment,2022-09-21 22:27:32.439980+00:00,1,,,74,2,,1,0,65.00,65.00,0.09,139,1,61.00,6,0,60,1,1,md05qhkm,,,,,0
3,0mcgqahn,,0,432,900,voting,Payment,2022-09-21 22:27:51.168226+00:00,1,,,117,3,,-1,0,50.00,50.00,0.18,61,1,61.00,6,0,60,1,1,md05qhkm,,,,,0
4,mdeq66m1,,0,432,900,voting,Payment,2022-09-21 22:27:38.746970+00:00,1,,,126,4,,0,0,61.00,61.00,0.27,100,1,61.00,6,0,60,1,1,md05qhkm,,,,,0
5,x08vmfur,,0,432,900,voting,Payment,2022-09-21 22:27:29.219658+00:00,1,,,67,5,,1,1,96.00,96.00,0.36,139,1,61.00,6,0,60,1,1,md05qhkm,,,,,0
6,qm9sw9fg,,0,432,900,voting,Payment,2022-09-21 22:27:27.496716+00:00,1,,,144,6,,1,0,75.00,75.00,0.45,139,1,61.00,6,0,60,1,1,md05qhkm,,,,,0
7,u844ef9e,,0,432,900,voting,Payment,2022-09-21 22:27:36.484378+00:00,1,,,154,7,,1,0,65.00,65.00,0.55,139,1,61.00,6,0,60,1,1,md05qhkm,,,,,0
8,08lfkmol,,0,432,900,voting,Payment,2022-09-21 22:27:32.929078+00:00,1,,,95,8,,1,0,80.00,80.00,0.64,139,1,61.00,6,0,60,1,1,md05qhkm,,,,,0
9,87vyepbt,,0,432,900,voting,Payment,2022-09-21 22:27:28.263263+00:00,1,,,104,9,,-1,0,10.00,10.00,0.73,61,1,61.00,6,0,60,1,1,md05qhkm,,,,,0
10,q5y7cisx,,0,432,900,voting,Payment,2022-09-21 22:27:38.362710+00:00,1,,,181,10,,-1,0,50.00,50.00,0.82,61,1,61.00,6,0,60,1,1,md05qhkm,,,,,0
11,dq0g75wa,,0,432,900,voting,Payment,2022-09-21 22:27:36.022462+00:00,1,,,122,11,,-1,0,60.00,60.00,0.91,61,1,61.00,6,0,60,1,1,md05qhkm,,,,,0
1,092wagab,,0,432,900,voting,Payment,2022-09-21 22:27:36.931708+00:00,1,,,31,1,,0,0,67.00,67.00,0.00,100,1,67.00,6,0,60,1,2,md05qhkm,,,,,0
2,pg53dkyh,,0,432,900,voting,Payment,2022-09-21 22:27:32.439980+00:00,1,,,74,2,,-1,0,63.00,63.00,0.09,67,1,67.00,6,0,60,1,2,md05qhkm,,,,,0
3,0mcgqahn,,0,432,900,voting,Payment,2022-09-21 22:27:51.168226+00:00,1,,,117,3,,-1,0,59.00,59.00,0.18,67,1,67.00,6,0,60,1,2,md05qhkm,,,,,0
4,mdeq66m1,,0,432,900,voting,Payment,2022-09-21 22:27:38.746970+00:00,1,,,126,4,,-1,0,65.00,65.00,0.27,67,1,67.00,6,0,60,1,2,md05qhkm,,,,,0
5,x08vmfur,,0,432,900,voting,Payment,2022-09-21 22:27:29.219658+00:00,1,,,67,5,,1,0,80.00,80.00,0.36,133,1,67.00,6,0,60,1,2,md05qhkm,,,,,0
6,qm9sw9fg,,0,432,900,voting,Payment,2022-09-21 22:27:27.496716+00:00,1,,,144,6,,-1,0,50.00,50.00,0.45,67,1,67.00,6,0,60,1,2,md05qhkm,,,,,0
7,u844ef9e,,0,432,900,voting,Payment,2022-09-21 22:27:36.484378+00:00,1,,,154,7,,1,1,69.00,69.00,0.55,133,1,67.00,6,0,60,1,2,md05qhkm,,,,,0
8,08lfkmol,,0,432,900,voting,Payment,2022-09-21 22:27:32.929078+00:00,1,,,95,8,,-1,0,20.00,20.00,0.64,67,1,67.00,6,0,60,1,2,md05qhkm,,,,,0
