participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.t;player.vote;player.bid;player.ask;player.lama;player.payoff;group.id_in_subsession;group.price;group.q;group.policy;group.costo;group.uniforme;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;4b0whbmv;;0;432;900;voting;Payment;2022-09-28 22:32:58.764475+00:00;1;;;100;1;;1;0;110.00;110.00;1.00;140;1;60.00;6;0;60;0;1;f4bcjbuy;;;;;0
2;j42wgmca;;0;432;900;voting;Payment;2022-09-28 22:33:16.299644+00:00;1;;;80;2;;-1;0;25.00;25.00;1.00;60;1;60.00;6;0;60;0;1;f4bcjbuy;;;;;0
3;ih5vs76w;;0;432;900;voting;Payment;2022-09-28 22:33:30.060562+00:00;1;;;120;3;;0;1;60.00;60.00;1.00;100;1;60.00;6;0;60;0;1;f4bcjbuy;;;;;0
4;72dnj0m4;;0;432;900;voting;Payment;2022-09-28 22:32:56.671290+00:00;1;;;120;4;;1;0;100.00;100.00;1.00;140;1;60.00;6;0;60;0;1;f4bcjbuy;;;;;0
5;b06ytkhh;;0;432;900;voting;Payment;2022-09-28 22:33:18.072482+00:00;1;;;120;5;;-1;0;30.00;30.00;1.00;60;1;60.00;6;0;60;0;1;f4bcjbuy;;;;;0
6;8p8wtk8f;;0;432;900;voting;Payment;2022-09-28 22:33:02.149723+00:00;1;;;100;6;;1;0;90.00;90.00;0.00;140;1;60.00;6;0;60;0;1;f4bcjbuy;;;;;0
7;21evei7n;;0;432;900;voting;Payment;2022-09-28 22:32:56.016868+00:00;1;;;80;7;;1;0;65.00;65.00;0.00;140;1;60.00;6;0;60;0;1;f4bcjbuy;;;;;0
8;27vu67jb;;0;432;900;voting;Payment;2022-09-28 22:32:53.445646+00:00;1;;;80;8;;1;0;78.00;78.00;0.00;140;1;60.00;6;0;60;0;1;f4bcjbuy;;;;;0
9;fbzftfe5;;0;432;900;voting;Payment;2022-09-28 22:33:06.700375+00:00;1;;;100;9;;-1;0;25.00;25.00;0.00;60;1;60.00;6;0;60;0;1;f4bcjbuy;;;;;0
10;6ob122y8;;0;432;900;voting;Payment;2022-09-28 22:33:14.301679+00:00;1;;;80;10;;-1;0;40.00;40.00;0.00;60;1;60.00;6;0;60;0;1;f4bcjbuy;;;;;0
11;wtwjtd55;;0;432;900;voting;Payment;2022-09-28 22:32:53.573273+00:00;1;;;120;11;;-1;0;30.00;30.00;0.00;60;1;60.00;6;0;60;0;1;f4bcjbuy;;;;;0
1;4b0whbmv;;0;432;900;voting;Payment;2022-09-28 22:32:58.764475+00:00;1;;;100;1;;1;0;85.00;85.00;1.00;130;1;70.00;7;0;60;0;2;f4bcjbuy;;;;;0
2;j42wgmca;;0;432;900;voting;Payment;2022-09-28 22:33:16.299644+00:00;1;;;80;2;;-1;0;50.00;50.00;1.00;70;1;70.00;7;0;60;0;2;f4bcjbuy;;;;;0
3;ih5vs76w;;0;432;900;voting;Payment;2022-09-28 22:33:30.060562+00:00;1;;;120;3;;0;1;70.00;70.00;1.00;100;1;70.00;7;0;60;0;2;f4bcjbuy;;;;;0
4;72dnj0m4;;0;432;900;voting;Payment;2022-09-28 22:32:56.671290+00:00;1;;;120;4;;-1;0;40.00;40.00;1.00;70;1;70.00;7;0;60;0;2;f4bcjbuy;;;;;0
5;b06ytkhh;;0;432;900;voting;Payment;2022-09-28 22:33:18.072482+00:00;1;;;120;5;;0;1;70.00;70.00;1.00;100;1;70.00;7;0;60;0;2;f4bcjbuy;;;;;0
6;8p8wtk8f;;0;432;900;voting;Payment;2022-09-28 22:33:02.149723+00:00;1;;;100;6;;-1;0;60.00;60.00;0.00;70;1;70.00;7;0;60;0;2;f4bcjbuy;;;;;0
7;21evei7n;;0;432;900;voting;Payment;2022-09-28 22:32:56.016868+00:00;1;;;80;7;;0;0;70.00;70.00;0.00;100;1;70.00;7;0;60;0;2;f4bcjbuy;;;;;0
